ID_Finanza,TipoGasto,Categoria,Monto
1,Capacitacion,OPEX,1155.76
2,Viajes,OPEX,383.34
3,Desarrollo a Medida,CAPEX,1252.89
4,Hardware,CAPEX,650.67
5,Suscripciones SaaS,OPEX,670.12
6,Viajes,OPEX,1331.12
7,Servicios Nube,OPEX,547.40
8,Suscripciones SaaS,OPEX,403.31
9,Licencias Perpetuas,CAPEX,555.53
10,Suscripciones SaaS,OPEX,1080.49
11,Desarrollo a Medida,CAPEX,367.95
12,Suscripciones SaaS,OPEX,572.30
13,Desarrollo a Medida,CAPEX,946.02
14,Licencias Perpetuas,CAPEX,273.86
15,Viajes,OPEX,941.62
16,Suscripciones SaaS,OPEX,803.49
17,Hardware,CAPEX,2598.55
18,Hardware,CAPEX,903.22
19,Hardware,CAPEX,173.90
20,Hardware,CAPEX,1123.57
21,Licencias Perpetuas,CAPEX,1155.99
22,Licencias Perpetuas,CAPEX,4601.30
23,Viajes,OPEX,369.19
24,Viajes,OPEX,143.20
25,Servicios Nube,OPEX,350.83
26,Capacitacion,OPEX,539.69
27,Desarrollo a Medida,CAPEX,685.78
28,Suscripciones SaaS,OPEX,513.51
29,Suscripciones SaaS,OPEX,566.58
30,Servicios Nube,OPEX,467.55
31,Hardware,CAPEX,813.40
32,Desarrollo a Medida,CAPEX,1009.00
33,Suscripciones SaaS,OPEX,687.41
34,Servicios Nube,OPEX,617.26
35,Soporte,OPEX,856.67
36,Suscripciones SaaS,OPEX,1036.13
37,Viajes,OPEX,1494.25
38,Desarrollo a Medida,CAPEX,385.20
39,Licencias Perpetuas,CAPEX,380.80
40,Suscripciones SaaS,OPEX,1184.88
41,Viajes,OPEX,3141.73
42,Suscripciones SaaS,OPEX,949.47
43,Servicios Nube,OPEX,1306.57
44,Soporte,OPEX,834.04
45,Hardware,CAPEX,339.95
46,Hardware,CAPEX,326.58
47,Licencias Perpetuas,CAPEX,757.63
48,Desarrollo a Medida,CAPEX,1058.05
49,Viajes,OPEX,554.82
50,Licencias Perpetuas,CAPEX,730.09
51,Desarrollo a Medida,CAPEX,353.42
52,Soporte,OPEX,785.85
53,Suscripciones SaaS,OPEX,498.96
54,Hardware,CAPEX,1085.13
55,Servicios Nube,OPEX,585.36
56,Capacitacion,OPEX,633.16
57,Servicios Nube,OPEX,1151.41
58,Capacitacion,OPEX,674.10
59,Licencias Perpetuas,CAPEX,734.61
60,Viajes,OPEX,484.59
61,Hardware,CAPEX,1818.53
62,Hardware,CAPEX,2863.72
63,Licencias Perpetuas,CAPEX,750.50
64,Capacitacion,OPEX,1417.70
65,Licencias Perpetuas,CAPEX,3653.71
66,Viajes,OPEX,1405.72
67,Hardware,CAPEX,771.32
68,Viajes,OPEX,307.35
69,Soporte,OPEX,399.96
70,Licencias Perpetuas,CAPEX,816.37
71,Capacitacion,OPEX,539.53
72,Soporte,OPEX,674.80
73,Capacitacion,OPEX,278.25
74,Hardware,CAPEX,233.90
75,Suscripciones SaaS,OPEX,312.51
76,Hardware,CAPEX,328.07
77,Viajes,OPEX,393.52
78,Servicios Nube,OPEX,1263.78
79,Servicios Nube,OPEX,2791.21
80,Capacitacion,OPEX,540.13
81,Hardware,CAPEX,2016.32
82,Desarrollo a Medida,CAPEX,805.88
83,Desarrollo a Medida,CAPEX,1394.43
84,Licencias Perpetuas,CAPEX,2070.15
85,Viajes,OPEX,163.86
86,Hardware,CAPEX,377.32
87,Hardware,CAPEX,1322.73
88,Suscripciones SaaS,OPEX,410.03
89,Soporte,OPEX,742.40
90,Hardware,CAPEX,556.24
91,Servicios Nube,OPEX,782.60
92,Suscripciones SaaS,OPEX,80.55
93,Desarrollo a Medida,CAPEX,1967.46
94,Viajes,OPEX,891.15
95,Hardware,CAPEX,237.00
96,Suscripciones SaaS,OPEX,444.05
97,Suscripciones SaaS,OPEX,224.06
98,Suscripciones SaaS,OPEX,1055.06
99,Suscripciones SaaS,OPEX,711.87
100,Servicios Nube,OPEX,328.29
101,Desarrollo a Medida,CAPEX,643.68
102,Servicios Nube,OPEX,959.20
103,Servicios Nube,OPEX,1191.42
104,Hardware,CAPEX,345.57
105,Hardware,CAPEX,579.74
106,Servicios Nube,OPEX,737.64
107,Soporte,OPEX,752.12
108,Suscripciones SaaS,OPEX,1178.09
109,Desarrollo a Medida,CAPEX,1354.47
110,Desarrollo a Medida,CAPEX,481.16
111,Soporte,OPEX,750.31
112,Capacitacion,OPEX,578.46
113,Capacitacion,OPEX,343.46
114,Licencias Perpetuas,CAPEX,272.41
115,Soporte,OPEX,1079.63
116,Licencias Perpetuas,CAPEX,340.41
117,Licencias Perpetuas,CAPEX,429.10
118,Desarrollo a Medida,CAPEX,649.47
119,Servicios Nube,OPEX,1886.33
120,Servicios Nube,OPEX,879.18
